id,sheet,品类,品名,规格,单位,单价,供应商,启用,来源,更新时间
1,蔬菜报价,叶菜/葱姜蒜,圆包菜（去老叶）,,斤,1.1,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
2,蔬菜报价,叶菜/葱姜蒜,大白菜,,斤,1.2,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
3,蔬菜报价,叶菜/葱姜蒜,红洋葱,,斤,1.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
4,蔬菜报价,叶菜/葱姜蒜,白洋葱,,斤,1.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
5,蔬菜报价,叶菜/葱姜蒜,黄豆芽,,斤,1.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
6,蔬菜报价,叶菜/葱姜蒜,绿豆芽,,斤,1.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
7,蔬菜报价,叶菜/葱姜蒜,平包菜,,斤,1.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
8,蔬菜报价,叶菜/葱姜蒜,小白菜,,斤,1.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
9,蔬菜报价,叶菜/葱姜蒜,大葱,,斤,1.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
10,蔬菜报价,叶菜/葱姜蒜,小青苗,,斤,1.9,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
11,蔬菜报价,叶菜/葱姜蒜,大青苗,,斤,1.9,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
12,蔬菜报价,叶菜/葱姜蒜,大娃娃菜,,斤,2.1,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
13,蔬菜报价,叶菜/葱姜蒜,西芹(外调）,,斤,2.2,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
14,蔬菜报价,叶菜/葱姜蒜,外调生菜,,斤,2.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
15,蔬菜报价,叶菜/葱姜蒜,芥菜,,斤,2.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
16,蔬菜报价,叶菜/葱姜蒜,油麦菜,,斤,2.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
17,蔬菜报价,叶菜/葱姜蒜,油菜心,,斤,2.4,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
18,蔬菜报价,叶菜/葱姜蒜,菜头,,斤,2.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
19,蔬菜报价,叶菜/葱姜蒜,散花菜,,斤,2.8,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
20,蔬菜报价,叶菜/葱姜蒜,紫甘蓝\紫包菜,,斤,3.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
21,蔬菜报价,叶菜/葱姜蒜,生姜（水洗）,,斤,3.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
22,蔬菜报价,叶菜/葱姜蒜,蒜米,,斤,3.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
23,蔬菜报价,叶菜/葱姜蒜,老姜,,斤,3.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
24,蔬菜报价,叶菜/葱姜蒜,小娃娃菜,,斤,3.3,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
25,蔬菜报价,叶菜/葱姜蒜,红苋菜,,斤,3.4,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
26,蔬菜报价,叶菜/葱姜蒜,芥菜包,,斤,3.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
27,蔬菜报价,叶菜/葱姜蒜,菠菜,,斤,3.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
28,蔬菜报价,叶菜/葱姜蒜,毛芹,,斤,3.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
29,蔬菜报价,叶菜/葱姜蒜,豆苗,,盒,3.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
30,蔬菜报价,叶菜/葱姜蒜,去跟银芽,,斤,3.5,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
31,蔬菜报价,叶菜/葱姜蒜,空心菜,,斤,3.8,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
32,蔬菜报价,叶菜/葱姜蒜,紧花菜,,斤,4.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
33,蔬菜报价,叶菜/葱姜蒜,韭菜（外地）,,斤,4.0,柒天茗鲜（厦门）果蔬配送,是,报价库_v6_20260507更新.xlsx,2026-05-15
