id,sheet,品类,品名,规格,单位,单价,供应商,启用,来源,更新时间
1,最新成本库_调料图片导入,调料,白糖,,斤,3.6,,是,梦洁最新成本库图片 2026-05-19,2026-05-20
2,最新成本库_调料图片导入,调料,橄榄菜,,瓶,5.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
3,最新成本库_调料图片导入,调料,排骨酱,,瓶,17.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
4,最新成本库_调料图片导入,调料,鸡精,,包,20.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
5,最新成本库_调料图片导入,调料,辣鲜露,,瓶,16.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
6,最新成本库_调料图片导入,调料,味精,,袋,185.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
7,最新成本库_调料图片导入,调料,香叶,,斤,35.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
8,最新成本库_调料图片导入,调料,花生,,斤,6.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
9,最新成本库_调料图片导入,调料,丹凤白酒,,瓶,25.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
10,最新成本库_调料图片导入,调料,元宝大豆油20升,20升/桶,桶,175.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
11,最新成本库_调料图片导入,调料,蒸鱼豉油,,瓶,11.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
12,最新成本库_调料图片导入,调料,豆豉,,盒,3.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
13,最新成本库_调料图片导入,调料,干木耳,,斤,40.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
14,最新成本库_调料图片导入,调料,香麻油,,桶,70.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
15,最新成本库_调料图片导入,调料,干辣椒,,斤,13.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
16,最新成本库_调料图片导入,调料,干花椒,,斤,45.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
17,最新成本库_调料图片导入,调料,梅菜笋丝,,包,9.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
18,最新成本库_调料图片导入,调料,鸡蛋一件12板,一件12板,12板,215.7,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
19,最新成本库_调料图片导入,调料,三花淡奶,,瓶,7.0,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
20,最新成本库_调料图片导入,调料,加饭酒,,瓶,2.5,,是,梦洁最新成本库图片 2026-05-19,2026-05-19
