时间,动作,详情
2026-05-15 20:17:29,清空当天数据,"{""日期"": ""2026-05-15"", ""清空采购行数"": 26, ""清空营业额记录"": 1}"
2026-05-18 23:18:33,新增供货商,"{""id"": ""15"", ""类别"": ""调料"", ""供货商"": ""调料"", ""联系人"": """", ""电话"": """", ""地址"": """", ""备注"": """", ""启用"": ""是"", ""更新时间"": ""2026-05-18""}"
2026-05-18 23:18:50,供应商价格批量替换,"{""新供应商"": ""调料"", ""修改条数"": 0, ""明细"": []}"
2026-05-19 15:45:15,清空当天数据,"{""日期"": ""2026-05-19"", ""清空采购行数"": 0, ""清空营业额记录"": 0}"
2026-05-19 15:50:04,新供货商报价批量新增/更新,"{""供货商"": """", ""类别"": ""调料"", ""新增条数"": 39, ""改价条数"": 0, ""新增"": [{""id"": ""419"", ""品名"": ""白糖"", ""单价"": 3.5, ""供应商"": """"}, {""id"": ""420"", ""品名"": ""橄榄菜"", ""单价"": 5.0, ""供应商"": """"}, {""id"": ""421"", ""品名"": ""排骨酱"", ""单价"": 17.0, ""供应商"": """"}, {""id"": ""422"", ""品名"": ""鸡精"", ""单价"": 20.0, ""供应商"": """"}, {""id"": ""423"", ""品名"": ""辣鲜露"", ""单价"": 16.0, ""供应商"": """"}, {""id"": ""424"", ""品名"": ""味精"", ""单价"": 185.0, ""供应商"": """"}, {""id"": ""425"", ""品名"": ""香叶"", ""单价"": 35.0, ""供应商"": """"}, {""id"": ""426"", ""品名"": ""花生"", ""单价"": 6.0, ""供应商"": """"}, {""id"": ""427"", ""品名"": ""丹凤白酒"", ""单价"": 25.0, ""供应商"": """"}, {""id"": ""428"", ""品名"": ""元宝大豆油20升"", ""单价"": 175.0, ""供应商"": """"}, {""id"": ""429"", ""品名"": ""蒸鱼豉油"", ""单价"": 11.0, ""供应商"": """"}, {""id"": ""430"", ""品名"": ""豆豉"", ""单价"": 3.0, ""供应商"": """"}, {""id"": ""431"", ""品名"": ""干木耳"", ""单价"": 40.0, ""供应商"": """"}, {""id"": ""432"", ""品名"": ""香麻油"", ""单价"": 70.0, ""供应商"": """"}, {""id"": ""433"", ""品名"": ""干辣椒"", ""单价"": 13.0, ""供应商"": """"}, {""id"": ""434"", ""品名"": ""干花椒"", ""单价"": 45.0, ""供应商"": """"}, {""id"": ""435"", ""品名"": ""梅菜笋丝"", ""单价"": 9.0, ""供应商"": """"}, {""id"": ""436"", ""品名"": ""鸡蛋一件12板"", ""单价"": 215.7, ""供应商"": """"}, {""id"": ""437"", ""品名"": ""三花淡奶"", ""单价"": 7.0, ""供应商"": """"}, {""id"": ""438"", ""品名"": ""加饭酒"", ""单价"": 2.5, ""供应商"": """"}, {""id"": ""439"", ""品名"": ""花椒油"", ""单价"": 12.0, ""供应商"": """"}, {""id"": ""440"", ""品名"": ""辣椒油"", ""单价"": 12.0, ""供应商"": """"}, {""id"": ""441"", ""品名"": ""椰浆"", ""单价"": 8.0, ""供应商"": """"}, {""id"": ""442"", ""品名"": ""台湾卤味包"", ""单价"": 2.0, ""供应商"": """"}, {""id"": ""443"", ""品名"": ""泰式鸡汁"", ""单价"": 8.0, ""供应商"": """"}, {""id"": ""444"", ""品名"": ""烧碱"", ""单价"": 4.0, ""供应商"": """"}, {""id"": ""445"", ""品名"": ""麻辣鲜"", ""单价"": 4.0, ""供应商"": """"}, {""id"": ""446"", ""品名"": ""食粉"", ""单价"": 5.0, ""供应商"": """"}, {""id"": ""447"", ""品名"": ""盐"", ""单价"": 1.8, ""供应商"": """"}, {""id"": ""448"", ""品名"": ""叉烧酱"", ""单价"": 17.0, ""供应商"": """"}, {""id"": ""449"", ""品名"": ""高粱酒"", ""单价"": 10.0, ""供应商"": """"}, {""id"": ""450"", ""品名"": ""胖子鱼"", ""单价"": 130.0, ""供应商"": """"}, {""id"": ""451"", ""品名"": ""风车生粉"", ""单价"": 6.0, ""供应商"": """"}, {""id"": ""452"", ""品名"": ""一次性鲍鱼袋（中号）"", ""单价"": 10.0, ""供应商"": """"}, {""id"": ""453"", ""品名"": ""生抽"", ""单价"": 5.0, ""供应商"": """"}, {""id"": ""454"", ""品名"": ""鸡饭老抽"", ""单价"": 20.0, ""供应商"": """"}, {""id"": ""455"", ""品名"": ""大米25kg"", ""单价"": 175.0, ""供应商"": """"}, {""id"": ""456"", ""品名"": ""桂皮"", ""单价"": 15.0, ""供应商"": """"}, {""id"": ""457"", ""品名"": ""八角"", ""单价"": 30.0, ""供应商"": """"}], ""改价"": []}"
2026-05-19 16:12:58,清空旧成本库,已备份到 /root/.hermes/profiles/mengjie/workspace/cost_system/data/backup_before_reset_20260519_161258，等待导入最新成本库
2026-05-19 16:21:49,导入最新成本库图片,"{""导入条数"": 39, ""类别"": ""调料/米油蛋调料"", ""品项"": [""白糖"", ""橄榄菜"", ""排骨酱"", ""鸡精"", ""辣鲜露"", ""味精"", ""香叶"", ""花生"", ""丹凤白酒"", ""元宝大豆油20升"", ""蒸鱼豉油"", ""豆豉"", ""干木耳"", ""香麻油"", ""干辣椒"", ""干花椒"", ""梅菜笋丝"", ""鸡蛋一件12板"", ""三花淡奶"", ""加饭酒"", ""花椒油"", ""辣椒油"", ""椰浆"", ""台湾卤味包"", ""泰式鸡汁"", ""烧碱"", ""麻辣鲜"", ""食粉"", ""盐"", ""叉烧酱"", ""高粱酒"", ""胖子鱼"", ""风车生粉"", ""一次性鲍鱼袋（中号）"", ""生抽"", ""鸡饭老抽"", ""大米25kg"", ""桂皮"", ""八角""]}"
2026-05-19 16:27:11,订正成本库分类,"{""订正条数"": 39, ""旧分类"": {""调料"": 32, ""米油蛋调料"": 7}, ""新分类"": ""调料"", ""说明"": ""梦洁确认这张图片全部归调料""}"
2026-05-19 16:48:08,导入最新蔬菜成本库图片,"{""导入条数"": 154, ""跳过重复"": 0, ""待确认未导入"": [""本地黄瓜"", ""日本小青瓜"", ""小红心地瓜"", ""圆青椒"", ""茼蒿"", ""水葱"", ""秋葵(斤价)"", ""去皮毛豆（鲜）"", ""虫草花（干）"", ""绿娃娃菜"", ""第4列一个盒装品名""]}"
2026-05-19 17:15:47,导入最新猪肉成本库图片,"{""新增条数"": 15, ""更新条数"": 0, ""品项"": [""红烧肉（二层切块）"", ""猪脚（切好）"", ""二层肉（整片）"", ""两层肉片（切片）"", ""瘦肉片"", ""瘦肉丝"", ""三层肉"", ""64肉沫"", ""精品排骨"", ""排骨头（排骨）"", ""猪肝（切片）"", ""筒子骨"", ""眼睛骨"", ""去皮肥肉"", ""猪头骨""]}"
2026-05-20 11:00:28,修改价格/资料,"{""旧"": {""id"": ""201"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""64肉沫"", ""规格"": """", ""单位"": ""斤"", ""单价"": 6.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-19""}, ""新"": {""id"": ""201"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""肉沫"", ""规格"": """", ""单位"": ""斤"", ""单价"": 6.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-20""}}"
2026-05-20 11:03:28,新增报价,"{""id"": ""226"", ""sheet"": ""新增报价"", ""品类"": ""猪肉"", ""品名"": ""龙骨"", ""规格"": """", ""单位"": ""斤"", ""单价"": 9.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""网页新增"", ""更新时间"": ""2026-05-20""}"
2026-05-20 11:04:00,清空当天数据,"{""日期"": ""2026-05-20"", ""清空采购行数"": 7, ""清空营业额记录"": 0}"
