记录ID,日期,批次,食材,输入数量,输入单位,计价数量,计价单位,单价,小计,状态,报价库品名,规格,备注
20260515201613909751_26,2026-05-16,猪肉,猪肉类<br/>猪头骨,1.0,个,1.0,个,,,❌ 库里缺价,-,,需要补单价或整价
20260515201613909865_27,2026-05-16,猪肉,猪头骨,1.0,个,1.0,个,,,⚠️ 单位待确认,猪头骨,,库里按斤，你填个；请填重量或整价
20260515201613910281_28,2026-05-16,猪肉,猪脚,20.0,斤,20.0,件,220.0,4400.0,✅ 已取价,7寸猪脚,20斤,按成本库取价；多价格取贵
20260515201613910540_29,2026-05-16,猪肉,二层肉,20.0,斤,20.0,斤,6.0,120.0,✅ 已取价,二层肉（整片）,,按成本库取价；多价格取贵
20260515201613910762_30,2026-05-16,猪肉,瘦肉片,10.0,斤,10.0,斤,9.0,90.0,✅ 已取价,瘦肉片,,按成本库取价；多价格取贵
20260515201613911081_31,2026-05-16,猪肉,猪肝,5.0,斤,5.0,件,85.0,425.0,✅ 已取价,盛味鲜猪肝片,2斤*10包,按成本库取价；多价格取贵
20260519160341381682,2026-05-19,猪肉,猪头骨,1.0,个,1.0,个,,,⚠️ 单位待确认,猪头骨,,库里按斤，你填个；请填重量或整价
20260519160341404970,2026-05-19,猪肉,猪脚,20.0,斤,20.0,件,220.0,4400.0,✅ 已取价,7寸猪脚,20斤,按成本库取价；多价格取贵
20260519160341428103,2026-05-19,猪肉,二层肉,20.0,斤,20.0,斤,6.0,120.0,✅ 已取价,二层肉（整片）,,按成本库取价；多价格取贵
20260519160341441731,2026-05-19,猪肉,瘦肉片,12.0,斤,12.0,斤,9.0,108.0,✅ 已取价,瘦肉片,,按成本库取价；多价格取贵
20260519160341461621,2026-05-19,猪肉,肉末,5.0,斤,5.0,斤,,,❌ 库里缺价,-,,需要补单价或整价
20260519160341484344,2026-05-19,猪肉,二层肉,5.0,斤,5.0,斤,6.0,30.0,✅ 已取价,二层肉（整片）,,按成本库取价；多价格取贵
20260519160341505471,2026-05-19,猪肉,龙骨,3.0,斤,3.0,斤,,,❌ 库里缺价,-,,需要补单价或整价
20260520174606329456,2026-05-20,蔬菜,大青苗,10.0,斤,10.0,斤,1.9,19.0,✅ 已取价,大青苗,,按成本库取价；多价格取贵
20260520174606345610,2026-05-20,蔬菜,茭白,8.0,斤,8.0,斤,6.0,48.0,✅ 已取价,茭白,,按成本库取价；多价格取贵
20260520174606359077,2026-05-20,蔬菜,茄子,10.0,斤,10.0,斤,2.6,26.0,✅ 已取价,茄子,,按成本库取价；多价格取贵
20260520174606378673,2026-05-20,蔬菜,豆芽,12.0,斤,12.0,斤,1.3,15.6,✅ 已取价,黄豆芽,,按成本库取价；多价格取贵
20260520174606390396,2026-05-20,蔬菜,花菜,10.0,斤,10.0,斤,2.8,28.0,✅ 已取价,花菜,,按成本库取价；多价格取贵
20260520174606406060,2026-05-20,蔬菜,西兰花,10.0,斤,10.0,斤,4.5,45.0,✅ 已取价,外调西兰花,,按成本库取价；多价格取贵
20260520174606415849,2026-05-20,蔬菜,甜豆,10.0,斤,10.0,斤,8.5,85.0,✅ 已取价,甜豆,,按成本库取价；多价格取贵
20260520174606425289,2026-05-20,蔬菜,黄心土豆,15.0,斤,15.0,斤,2.0,30.0,✅ 已取价,黄心土豆,,按成本库取价；多价格取贵
