原文,品名,规格,单位,新价,状态,匹配方式,库ID,库品名,旧规格,旧单位,旧价,差额
名称	单价	单位,名称 单价 单位,,,,❌ 未匹配,未匹配,,,,,,
白糖	3.5	斤,白糖,,,3.5,❌ 未匹配,未匹配,,,,,,
橄榄菜	5	瓶,橄榄菜,,,5.0,❌ 未匹配,未匹配,,,,,,
排骨酱	17	瓶,排骨酱,,,17.0,❌ 未匹配,未匹配,,,,,,
鸡精	20	包,鸡精,,,20.0,❌ 未匹配,未匹配,,,,,,
辣鲜露	16	瓶,辣鲜露,,,16.0,❌ 未匹配,未匹配,,,,,,
味精	185	袋,味精,,,185.0,❌ 未匹配,未匹配,,,,,,
香叶	35	斤,香叶,,,35.0,❌ 未匹配,未匹配,,,,,,
花生	6	斤,花生,,,6.0,❌ 未匹配,未匹配,,,,,,
丹凤白酒	25	瓶,丹凤白酒,,,25.0,❌ 未匹配,未匹配,,,,,,
元宝大豆油20升	175	桶,元宝大豆油20升,,,175.0,❌ 未匹配,未匹配,,,,,,
蒸鱼豉油	11	瓶,蒸鱼豉油,,,11.0,❌ 未匹配,未匹配,,,,,,
豆豉	3	盒,豆豉,,,3.0,❌ 未匹配,未匹配,,,,,,
干木耳	40	斤,干木耳,,,40.0,❌ 未匹配,未匹配,,,,,,
香麻油	70	桶,香麻油,,,70.0,❌ 未匹配,未匹配,,,,,,
干辣椒	13	斤,干辣椒,,,13.0,❌ 未匹配,未匹配,,,,,,
干花椒	45	斤,干花椒,,,45.0,❌ 未匹配,未匹配,,,,,,
梅菜笋丝	9	包,梅菜笋丝,,,9.0,❌ 未匹配,未匹配,,,,,,
鸡蛋一件12板	215.7	12板,鸡蛋一件12板,,,215.7,❌ 未匹配,未匹配,,,,,,
三花淡奶	7	瓶,三花淡奶,,,7.0,❌ 未匹配,未匹配,,,,,,
加饭酒	2.5	瓶,加饭酒,,,2.5,❌ 未匹配,未匹配,,,,,,
花椒油	12	瓶,花椒油,,,12.0,❌ 未匹配,未匹配,,,,,,
辣椒油	12	瓶,辣椒油,,,12.0,❌ 未匹配,未匹配,,,,,,
椰浆	8	瓶,椰浆,,,8.0,❌ 未匹配,未匹配,,,,,,
台湾卤味包	2	包,台湾卤味包,,,2.0,❌ 未匹配,未匹配,,,,,,
泰式鸡汁	8	瓶,泰式鸡汁,,,8.0,❌ 未匹配,未匹配,,,,,,
烧碱	4	斤,烧碱,,,4.0,❌ 未匹配,未匹配,,,,,,
麻辣鲜	4	包,麻辣鲜,,,4.0,❌ 未匹配,未匹配,,,,,,
食粉	5	盒,食粉,,,5.0,❌ 未匹配,未匹配,,,,,,
盐	1.8	包,盐,,,1.8,❌ 未匹配,未匹配,,,,,,
叉烧酱	17	瓶,叉烧酱,,,17.0,❌ 未匹配,未匹配,,,,,,
高粱酒	10	瓶,高粱酒,,,10.0,❌ 未匹配,未匹配,,,,,,
胖子鱼	130	桶,胖子鱼,,,130.0,❌ 未匹配,未匹配,,,,,,
风车生粉	6	斤,风车生粉,,,6.0,❌ 未匹配,未匹配,,,,,,
干虫草花		,干虫草花,,,,❌ 未匹配,未匹配,,,,,,
一次性鲍鱼袋（中号）	10	板,一次性鲍鱼袋（中号）,,,10.0,❌ 未匹配,未匹配,,,,,,
生抽	5	瓶,生抽,,,5.0,❌ 未匹配,未匹配,,,,,,
鸡饭老抽	20	瓶,鸡饭老抽,,,20.0,❌ 未匹配,未匹配,,,,,,
大米25kg	175	袋,大米25kg,,,175.0,❌ 未匹配,未匹配,,,,,,
桂皮	15	斤,桂皮,,,15.0,❌ 未匹配,未匹配,,,,,,
八角	30	斤,八角,,,30.0,❌ 未匹配,未匹配,,,,,,
